Date,Open,High,Low,Close,Volume,Adj Close
1973-05-29,328.50,328.50,323.50,323.50,488000,6.572146
1973-05-25,400.499992,407.999992,397.50,407.999992,1259200,6.631061
1973-05-24,390.00,400.499992,390.00,400.499992,1283200,6.509167
1973-05-23,390.00,396.500015,389.000015,389.749985,953600,6.334451
1973-05-22,388.499985,393.75,388.499985,390.00,1099200,6.338514
1973-05-21,386.749992,386.749992,381.500015,386.749992,1443200,6.285693
1973-05-18,395.00,395.00,388.499985,389.000015,1419200,6.322262
1973-05-17,400.00,400.00,396.749992,397.000008,456000,6.452283
1973-05-16,400.00,402.000008,397.50,400.00,833600,6.50104
1973-05-15,396.124992,402.000008,392.249985,400.00,1321600,6.50104
1973-05-14,403.499985,403.499985,395.250015,396.124992,1400000,6.438062
1973-05-11,409.500008,409.500008,405.499992,405.625,673600,6.592461
1973-05-10,414.000015,415.499992,409.249992,410.499992,544000,6.671693
1973-05-09,422.000008,422.999992,414.000015,414.000015,635200,6.728577
1973-05-08,417.000008,422.000008,415.999985,422.000008,448000,6.858598
1973-05-07,419.000015,419.000015,416.25,417.000008,507200,6.777335
1973-05-04,424.000015,425.250015,420.999985,421.749992,576000,6.854534
1973-05-03,415.374985,424.000015,410.250015,424.000015,912000,6.86835
1973-05-02,411.500015,417.750015,411.500015,415.374985,724800,6.728633
1973-05-01,411.500015,417.750015,411.500015,415.374985,724800,6.728633
1973-04-30,405.250015,409.000015,401.25,407.999992,1081600,6.609166
1973-04-27,409.749985,410.999985,405.125008,405.250015,801600,6.56462
1973-04-26,407.50,411.500015,405.499992,409.749985,947200,6.637514
1973-04-25,409.749985,409.749985,406.25,407.50,1404800,6.601067
1973-04-24,423.499985,423.499985,415.00,415.250015,913600,6.726609
1973-04-23,428.250008,428.250008,424.500008,425.499992,444800,6.892648
1973-04-19,432.000008,432.50,428.250008,429.000015,625600,6.949344
1973-04-18,425.00,432.000008,424.249992,432.000008,560000,6.997941
1973-04-17,425.250015,425.750008,423.499985,425.00,416000,6.884548
1973-04-16,429.749985,429.749985,425.00,425.250015,401600,6.888598
1973-04-13,430.750008,430.750008,428.499985,429.749985,344000,6.961493
1973-04-12,430.250015,432.249985,428.75,432.249985,553600,7.001991
1973-04-11,434.249992,436.25,426.500015,430.250015,729600,6.969593
1973-04-10,429.749985,435.00,429.749985,434.249992,635200,7.034389
1973-04-09,423.499985,429.500008,420.499992,429.500008,464000,6.957444
1973-04-06,423.250008,427.999992,423.250008,423.499985,480000,6.86025
1973-04-05,422.999992,424.000015,420.00,422.874985,755200,6.850125
1973-04-04,424.249992,426.500015,420.00,422.999992,680000,6.85215
1973-04-03,427.999992,428.75,424.000015,424.249992,897600,6.872399
1973-04-02,431.500015,432.750015,427.000008,427.999992,308800,6.933145
1973-03-30,437.50,437.50,430.499992,431.500015,569600,6.989842
1973-03-29,434.500008,439.000015,434.000015,438.75,652800,7.107284
1973-03-28,437.50,437.750015,434.000015,434.500008,484800,7.038439
1973-03-27,432.50,438.499985,432.000008,437.50,660800,7.087035
1973-03-26,427.999992,435.00,427.249985,432.50,691200,7.006041
1973-03-23,425.499992,429.000015,419.500008,427.999992,1196800,6.933145
1973-03-22,428.875008,428.875008,424.249992,425.499992,1044800,6.892648
1973-03-21,437.750015,441.25,430.250015,430.499992,548800,6.973643
1973-03-20,437.874985,440.00,433.499985,437.750015,579200,7.091085
1973-03-19,442.874985,442.874985,437.50,437.874985,529600,7.09311
1973-03-16,444.000015,448.499985,440.499992,443.499985,617600,7.184229
1973-03-15,448.75,449.749985,444.000015,444.000015,547200,7.192329
1973-03-14,444.749985,449.500008,444.749985,448.75,585600,7.269273
1973-03-13,442.50,446.749992,442.000008,444.749985,491200,7.204477
1973-03-12,440.750008,444.000015,440.750008,442.50,379200,7.16803
1973-03-09,440.499992,442.50,437.999992,439.500008,377600,7.119433
1973-03-08,440.999985,443.250008,438.250008,440.499992,545600,7.135632
1973-03-07,438.499985,445.499992,438.499985,440.999985,696000,7.143731
1973-03-06,438.75,445.750008,435.250015,437.249985,852800,7.082985
