Threshold = 136 | F-measure = 0.2573286 | clusters = 32 | common = 86 | cost = 238110.015625
Threshold = 137 | F-measure = 0.2723391 | clusters = 45 | common = 85 | cost = 250451.46875
Threshold = 138 | F-measure = 0.2377163 | clusters = 54 | common = 73 | cost = 231925.96875
Threshold = 139 | F-measure = 0.2834222 | clusters = 45 | common = 88 | cost = 228854.84375
Threshold = 140 | F-measure = 0.2452196 | clusters = 52 | common = 74 | cost = 244176.8125
Threshold = 141 | F-measure = 0.2467346 | clusters = 47 | common = 76 | cost = 242024.203125
Threshold = 142 | F-measure = 0.2660434 | clusters = 48 | common = 80 | cost = 230622.609375
Threshold = 143 | F-measure = 0.2607246 | clusters = 54 | common = 79 | cost = 230822.796875
Threshold = 144 | F-measure = 0.2518514 | clusters = 75 | common = 68 | cost = 219621.140625
Threshold = 145 | F-measure = 0.2381784 | clusters = 74 | common = 64 | cost = 215023.484375
Threshold = 146 | F-measure = 0.2603067 | clusters = 76 | common = 71 | cost = 220488.625
Threshold = 147 | F-measure = 0.2497229 | clusters = 72 | common = 70 | cost = 216413.828125
Threshold = 148 | F-measure = 0.238137 | clusters = 87 | common = 61 | cost = 205659.734375
Threshold = 149 | F-measure = 0.2406396 | clusters = 85 | common = 61 | cost = 196487.921875
Threshold = 150 | F-measure = 0.2573252 | clusters = 82 | common = 69 | cost = 203151.546875
Threshold = 151 | F-measure = 0.2332861 | clusters = 94 | common = 58 | cost = 191354.265625
Threshold = 152 | F-measure = 0.2624337 | clusters = 85 | common = 68 | cost = 198944.375
Threshold = 153 | F-measure = 0.2274568 | clusters = 107 | common = 53 | cost = 191164.40625
Threshold = 154 | F-measure = 0.2345601 | clusters = 108 | common = 54 | cost = 181913.78125
Threshold = 155 | F-measure = 0.2497053 | clusters = 104 | common = 62 | cost = 179583.546875
Threshold = 156 | F-measure = 0.2320016 | clusters = 124 | common = 52 | cost = 169271.859375
Threshold = 157 | F-measure = 0.2424293 | clusters = 114 | common = 54 | cost = 166233.84375
Threshold = 158 | F-measure = 0.2444889 | clusters = 109 | common = 57 | cost = 160297.84375
Threshold = 159 | F-measure = 0.2262931 | clusters = 127 | common = 49 | cost = 155728.546875
Threshold = 160 | F-measure = 0.2239442 | clusters = 137 | common = 46 | cost = 152001.078125
Threshold = 161 | F-measure = 0.2107942 | clusters = 131 | common = 45 | cost = 148574.890625
Threshold = 162 | F-measure = 0.2208966 | clusters = 141 | common = 45 | cost = 140318.796875
Threshold = 163 | F-measure = 0.2192737 | clusters = 119 | common = 45 | cost = 136759.015625
Threshold = 164 | F-measure = 0.2092856 | clusters = 143 | common = 42 | cost = 133289.5625
Threshold = 165 | F-measure = 0.2348557 | clusters = 132 | common = 49 | cost = 126911.90625
Threshold = 166 | F-measure = 0.1231561 | clusters = 153 | common = 28 | cost = 121836.5078125
Threshold = 167 | F-measure = 0.1923174 | clusters = 134 | common = 37 | cost = 117610.0546875
Threshold = 168 | F-measure = 0.1975953 | clusters = 164 | common = 34 | cost = 114437.21875
Threshold = 169 | F-measure = 0.2388819 | clusters = 156 | common = 43 | cost = 110268.8671875
Threshold = 170 | F-measure = 0.2011944 | clusters = 170 | common = 35 | cost = 105945.2890625
Threshold = 171 | F-measure = 0.2216075 | clusters = 134 | common = 42 | cost = 97890.8359375
Threshold = 172 | F-measure = 0.2046215 | clusters = 163 | common = 36 | cost = 95938.8125
Threshold = 173 | F-measure = 0.2072979 | clusters = 147 | common = 37 | cost = 90240.1875
Threshold = 174 | F-measure = 0.183486 | clusters = 156 | common = 33 | cost = 88732.6640625
Threshold = 175 | F-measure = 0.1920379 | clusters = 153 | common = 35 | cost = 84646.15625
Threshold = 176 | F-measure = 0.1826969 | clusters = 159 | common = 32 | cost = 80369.5859375
Threshold = 177 | F-measure = 0.1875 | clusters = 176 | common = 32 | cost = 79304.7265625
