Threshold = 200 | F-measure = 0.757233660149482 | clusters = 51 | cost = 39240.37109375 | common = 190
Threshold = 201 | F-measure = 0.757233660149482 | clusters = 51 | cost = 40049.359375 | common = 190
Threshold = 202 | F-measure = 0.757233660149482 | clusters = 51 | cost = 40858.359375 | common = 190
Threshold = 203 | F-measure = 0.757233660149482 | clusters = 51 | cost = 41667.34765625 | common = 190
Threshold = 204 | F-measure = 0.757233660149482 | clusters = 51 | cost = 42476.33984375 | common = 190
Threshold = 205 | F-measure = 0.757233660149482 | clusters = 51 | cost = 43285.328125 | common = 190
Threshold = 206 | F-measure = 0.757233660149482 | clusters = 51 | cost = 44094.328125 | common = 190
Threshold = 207 | F-measure = 0.757233660149482 | clusters = 51 | cost = 44903.3203125 | common = 190
Threshold = 208 | F-measure = 0.751320751219331 | clusters = 52 | cost = 45708.0234375 | common = 189
Threshold = 209 | F-measure = 0.744975691425996 | clusters = 53 | cost = 46506.28125 | common = 188
Threshold = 210 | F-measure = 0.744975691425996 | clusters = 53 | cost = 47284.27734375 | common = 188
Threshold = 211 | F-measure = 0.744975691425996 | clusters = 53 | cost = 48062.26953125 | common = 188
Threshold = 212 | F-measure = 0.744975691425996 | clusters = 53 | cost = 48840.26953125 | common = 188
Threshold = 213 | F-measure = 0.744975691425996 | clusters = 53 | cost = 49618.26171875 | common = 188
Threshold = 214 | F-measure = 0.744975691425996 | clusters = 53 | cost = 50396.2578125 | common = 188
Threshold = 215 | F-measure = 0.729980037992208 | clusters = 54 | cost = 51166.41015625 | common = 185
Threshold = 216 | F-measure = 0.729980037992208 | clusters = 54 | cost = 51932.40234375 | common = 185
Threshold = 217 | F-measure = 0.729980037992208 | clusters = 54 | cost = 52698.40234375 | common = 185
Threshold = 218 | F-measure = 0.729980037992208 | clusters = 54 | cost = 53464.39453125 | common = 185
Threshold = 219 | F-measure = 0.729980037992208 | clusters = 54 | cost = 54230.39453125 | common = 185
Threshold = 220 | F-measure = 0.717616959706209 | clusters = 56 | cost = 54526.36328125 | common = 183
Threshold = 221 | F-measure = 0.729980037992208 | clusters = 54 | cost = 55762.38671875 | common = 185
Threshold = 222 | F-measure = 0.729980037992208 | clusters = 54 | cost = 56528.3828125 | common = 185
Threshold = 223 | F-measure = 0.729980037992208 | clusters = 54 | cost = 57294.37890625 | common = 185
Threshold = 224 | F-measure = 0.711474761700503 | clusters = 57 | cost = 56518.5703125 | common = 182
Threshold = 225 | F-measure = 0.711474761700503 | clusters = 57 | cost = 57022.5625 | common = 182
Threshold = 226 | F-measure = 0.693210691725971 | clusters = 59 | cost = 58036.0078125 | common = 179
Threshold = 227 | F-measure = 0.699271186068964 | clusters = 58 | cost = 57938.5546875 | common = 180
Threshold = 228 | F-measure = 0.699271186068964 | clusters = 58 | cost = 58274.5546875 | common = 180
Threshold = 229 | F-measure = 0.646012068815204 | clusters = 60 | cost = 58817.671875 | common = 171
Threshold = 230 | F-measure = 0.646012068815204 | clusters = 60 | cost = 58921.671875 | common = 171
Threshold = 231 | F-measure = 0.646012068815204 | clusters = 60 | cost = 59025.66796875 | common = 171
Threshold = 232 | F-measure = 0.639979708486632 | clusters = 62 | cost = 59012.7421875 | common = 170
Threshold = 233 | F-measure = 0.652072563158197 | clusters = 61 | cost = 59858.0546875 | common = 172
Threshold = 234 | F-measure = 0.646012068815204 | clusters = 61 | cost = 59200.28125 | common = 171
Threshold = 235 | F-measure = 0.639979708486632 | clusters = 63 | cost = 59425.95703125 | common = 170
Threshold = 236 | F-measure = 0.646012068815204 | clusters = 62 | cost = 59491.58984375 | common = 171
Threshold = 237 | F-measure = 0.639979708486632 | clusters = 63 | cost = 59199.04296875 | common = 170
Threshold = 238 | F-measure = 0.639979708486632 | clusters = 62 | cost = 59132.73828125 | common = 170
Threshold = 239 | F-measure = 0.639979708486632 | clusters = 63 | cost = 59489.95703125 | common = 170
Threshold = 240 | F-measure = 0.639979708486632 | clusters = 62 | cost = 59172.73828125 | common = 170
Threshold = 241 | F-measure = 0.639979708486632 | clusters = 64 | cost = 59604.26171875 | common = 170
Threshold = 242 | F-measure = 0.639979708486632 | clusters = 63 | cost = 59294.04296875 | common = 170
Threshold = 243 | F-measure = 0.639979708486632 | clusters = 64 | cost = 59634.2578125 | common = 170
Threshold = 244 | F-measure = 0.639979708486632 | clusters = 63 | cost = 59332.04296875 | common = 170
Threshold = 245 | F-measure = 0.639979708486632 | clusters = 62 | cost = 59272.734375 | common = 170
Threshold = 246 | F-measure = 0.646012068815204 | clusters = 61 | cost = 60424.26953125 | common = 171
Threshold = 247 | F-measure = 0.646012068815204 | clusters = 61 | cost = 60526.265625 | common = 171
Threshold = 248 | F-measure = 0.616141090692183 | clusters = 64 | cost = 60673.4453125 | common = 166
Threshold = 249 | F-measure = 0.610256606729631 | clusters = 65 | cost = 61268.1015625 | common = 165
Threshold = 250 | F-measure = 0.622056146785378 | clusters = 65 | cost = 60432.4921875 | common = 167
Threshold = 251 | F-measure = 0.616141090692183 | clusters = 63 | cost = 59722.140625 | common = 166
Threshold = 252 | F-measure = 0.639979708486632 | clusters = 62 | cost = 59412.7265625 | common = 170
Threshold = 253 | F-measure = 0.639979708486632 | clusters = 63 | cost = 59713.9453125 | common = 170
Threshold = 254 | F-measure = 0.616141090692183 | clusters = 65 | cost = 59192.671875 | common = 166
Threshold = 255 | F-measure = 0.616141090692183 | clusters = 65 | cost = 58895.6796875 | common = 166
Threshold = 256 | F-measure = 0.639979708486632 | clusters = 62 | cost = 59492.71875 | common = 170
Threshold = 257 | F-measure = 0.639979708486632 | clusters = 62 | cost = 59512.71875 | common = 170
Threshold = 258 | F-measure = 0.616141090692183 | clusters = 65 | cost = 58004.6875 | common = 166
Threshold = 259 | F-measure = 0.610256606729631 | clusters = 65 | cost = 57761.0546875 | common = 165
Threshold = 260 | F-measure = 0.639979708486632 | clusters = 64 | cost = 59889.2421875 | common = 170
Threshold = 261 | F-measure = 0.639979708486632 | clusters = 62 | cost = 59592.71875 | common = 170
Threshold = 262 | F-measure = 0.592791858682848 | clusters = 67 | cost = 58712.23828125 | common = 162
Threshold = 263 | F-measure = 0.598581451571133 | clusters = 66 | cost = 57296.515625 | common = 163
Threshold = 264 | F-measure = 0.592791858682848 | clusters = 67 | cost = 57584.765625 | common = 162
Threshold = 265 | F-measure = 0.616141090692183 | clusters = 65 | cost = 55925.6953125 | common = 166
Threshold = 266 | F-measure = 0.592791858682848 | clusters = 68 | cost = 55509.69921875 | common = 162
Threshold = 267 | F-measure = 0.610256606729631 | clusters = 67 | cost = 54889.69140625 | common = 165
Threshold = 268 | F-measure = 0.616141090692183 | clusters = 66 | cost = 55090.00390625 | common = 166
Threshold = 269 | F-measure = 0.592791858682848 | clusters = 68 | cost = 53715.71484375 | common = 162
Threshold = 270 | F-measure = 0.604403216013587 | clusters = 66 | cost = 53213.34375 | common = 164
Threshold = 271 | F-measure = 0.598581451571133 | clusters = 68 | cost = 53362.69921875 | common = 163
Threshold = 272 | F-measure = 0.616141090692183 | clusters = 65 | cost = 53846.7109375 | common = 166
Threshold = 273 | F-measure = 0.610256606729631 | clusters = 65 | cost = 53192.46875 | common = 165
Threshold = 274 | F-measure = 0.587034995236955 | clusters = 67 | cost = 53511.046875 | common = 161
Threshold = 275 | F-measure = 0.598581451571133 | clusters = 67 | cost = 50739.2578125 | common = 163
Threshold = 276 | F-measure = 0.598103481265577 | clusters = 68 | cost = 50562.875 | common = 163
Threshold = 277 | F-measure = 0.586492123934838 | clusters = 69 | cost = 48921.99609375 | common = 161
Threshold = 278 | F-measure = 0.569322018727308 | clusters = 71 | cost = 50502.58203125 | common = 158
Threshold = 279 | F-measure = 0.586492123934838 | clusters = 71 | cost = 47802.625 | common = 161
Threshold = 280 | F-measure = 0.563666822589567 | clusters = 71 | cost = 48012.76953125 | common = 157
Threshold = 281 | F-measure = 0.563666822589567 | clusters = 71 | cost = 47131.7890625 | common = 157
Threshold = 282 | F-measure = 0.563666822589567 | clusters = 72 | cost = 46498.640625 | common = 157
Threshold = 283 | F-measure = 0.580735260488945 | clusters = 72 | cost = 45224.71875 | common = 160
Threshold = 284 | F-measure = 0.569322018727308 | clusters = 72 | cost = 45136.41796875 | common = 158
