Threshold =  167  | F-measure =  0.801307475828345  | clusters =  44  | cost =  10607.33984375
Threshold =  168  | F-measure =  0.801307475828345  | clusters =  44  | cost =  11043.7333984375
Threshold =  169  | F-measure =  0.801307475828345  | clusters =  44  | cost =  11533.8427734375
Threshold =  170  | F-measure =  0.801307475828345  | clusters =  44  | cost =  12078.640625
Threshold =  171  | F-measure =  0.795007741080335  | clusters =  45  | cost =  12702.24609375
Threshold =  172  | F-measure =  0.795007741080335  | clusters =  45  | cost =  13390.5068359375
Threshold =  173  | F-measure =  0.795007741080335  | clusters =  45  | cost =  14134.66015625
Threshold =  174  | F-measure =  0.795007741080335  | clusters =  45  | cost =  14941.3076171875
Threshold =  175  | F-measure =  0.795007741080335  | clusters =  45  | cost =  15817.6708984375
Threshold =  176  | F-measure =  0.795007741080335  | clusters =  45  | cost =  16767.84765625
Threshold =  177  | F-measure =  0.77612523409612  | clusters =  46  | cost =  17002.515625
Threshold =  178  | F-measure =  0.77612523409612  | clusters =  48  | cost =  18836.302734375
Threshold =  179  | F-measure =  0.77612523409612  | clusters =  48  | cost =  19728.169921875
Threshold =  180  | F-measure =  0.77612523409612  | clusters =  47  | cost =  20553.71875
Threshold =  181  | F-measure =  0.77612523409612  | clusters =  47  | cost =  21569.712890625
Threshold =  182  | F-measure =  0.77612523409612  | clusters =  47  | cost =  22585.71484375
Threshold =  183  | F-measure =  0.769698901807718  | clusters =  48  | cost =  23595.71875
Threshold =  184  | F-measure =  0.769698901807718  | clusters =  48  | cost =  24584.712890625
Threshold =  185  | F-measure =  0.769698901807718  | clusters =  48  | cost =  25573.705078125
Threshold =  186  | F-measure =  0.769698901807718  | clusters =  47  | cost =  25752.228515625
Threshold =  187  | F-measure =  0.769698901807718  | clusters =  48  | cost =  27551.685546875
Threshold =  188  | F-measure =  0.769698901807718  | clusters =  47  | cost =  27746.21875
Threshold =  189  | F-measure =  0.769698901807718  | clusters =  47  | cost =  28743.208984375
Threshold =  190  | F-measure =  0.769698901807718  | clusters =  47  | cost =  29740.201171875
Threshold =  191  | F-measure =  0.769698901807718  | clusters =  47  | cost =  30737.19921875
Threshold =  192  | F-measure =  0.769698901807718  | clusters =  47  | cost =  31734.1953125
Threshold =  193  | F-measure =  0.769698901807718  | clusters =  47  | cost =  32731.19140625
Threshold =  194  | F-measure =  0.757233660149482  | clusters =  51  | cost =  34386.40625
Threshold =  195  | F-measure =  0.769698901807718  | clusters =  47  | cost =  34725.1875
Threshold =  196  | F-measure =  0.763453712195305  | clusters =  49  | cost =  35813.65625
Threshold =  197  | F-measure =  0.763453712195305  | clusters =  49  | cost =  36712.65234375
Threshold =  198  | F-measure =  0.763453712195305  | clusters =  49  | cost =  37611.65234375
Threshold =  199  | F-measure =  0.757233660149482  | clusters =  51  | cost =  38431.38671875
Threshold =  200  | F-measure =  0.757233660149482  | clusters =  51  | cost =  39240.37109375
Threshold =  201  | F-measure =  0.757233660149482  | clusters =  51  | cost =  40049.359375
Threshold =  202  | F-measure =  0.757233660149482  | clusters =  51  | cost =  40858.359375
Threshold =  203  | F-measure =  0.757233660149482  | clusters =  51  | cost =  41667.34765625
Threshold =  204  | F-measure =  0.757233660149482  | clusters =  51  | cost =  42476.33984375
Threshold =  205  | F-measure =  0.757233660149482  | clusters =  51  | cost =  43285.328125
Threshold =  206  | F-measure =  0.757233660149482  | clusters =  51  | cost =  44094.328125
Threshold =  207  | F-measure =  0.757233660149482  | clusters =  51  | cost =  44903.3203125
Threshold =  208  | F-measure =  0.751320751219331  | clusters =  52  | cost =  45708.0234375
Threshold =  209  | F-measure =  0.744975691425996  | clusters =  53  | cost =  46506.28125
Threshold =  210  | F-measure =  0.744975691425996  | clusters =  53  | cost =  47284.27734375
Threshold =  211  | F-measure =  0.744975691425996  | clusters =  53  | cost =  48062.26953125
Threshold =  212  | F-measure =  0.744975691425996  | clusters =  53  | cost =  48840.26953125
Threshold =  213  | F-measure =  0.744975691425996  | clusters =  53  | cost =  49618.26171875
Threshold =  214  | F-measure =  0.744975691425996  | clusters =  53  | cost =  50396.2578125
Threshold =  215  | F-measure =  0.729980037992208  | clusters =  54  | cost =  51166.41015625
Threshold =  216  | F-measure =  0.729980037992208  | clusters =  54  | cost =  51932.40234375
Threshold =  217  | F-measure =  0.729980037992208  | clusters =  54  | cost =  52698.40234375
Threshold =  218  | F-measure =  0.729980037992208  | clusters =  54  | cost =  53464.39453125
Threshold =  219  | F-measure =  0.729980037992208  | clusters =  54  | cost =  54230.39453125
Threshold =  220  | F-measure =  0.717616959706209  | clusters =  56  | cost =  54526.36328125
Threshold =  221  | F-measure =  0.729980037992208  | clusters =  54  | cost =  55762.38671875
Threshold =  222  | F-measure =  0.729980037992208  | clusters =  54  | cost =  56528.3828125
Threshold =  223  | F-measure =  0.729980037992208  | clusters =  54  | cost =  57294.37890625
Threshold =  224  | F-measure =  0.711474761700503  | clusters =  57  | cost =  56518.5703125
Threshold =  225  | F-measure =  0.711474761700503  | clusters =  57  | cost =  57022.5625
Threshold =  226  | F-measure =  0.693210691725971  | clusters =  59  | cost =  58036.0078125
Threshold =  227  | F-measure =  0.699271186068964  | clusters =  58  | cost =  57938.5546875
Threshold =  228  | F-measure =  0.699271186068964  | clusters =  58  | cost =  58274.5546875
Threshold =  229  | F-measure =  0.646012068815204  | clusters =  60  | cost =  58817.671875
Threshold =  230  | F-measure =  0.646012068815204  | clusters =  60  | cost =  58921.671875
Threshold =  231  | F-measure =  0.646012068815204  | clusters =  60  | cost =  59025.66796875
Threshold =  232  | F-measure =  0.639979708486632  | clusters =  62  | cost =  59012.7421875
Threshold =  233  | F-measure =  0.652072563158197  | clusters =  61  | cost =  59858.0546875
Threshold =  234  | F-measure =  0.646012068815204  | clusters =  61  | cost =  59200.28125
Threshold =  235  | F-measure =  0.639979708486632  | clusters =  63  | cost =  59425.95703125
Threshold =  236  | F-measure =  0.646012068815204  | clusters =  62  | cost =  59491.58984375
Threshold =  237  | F-measure =  0.639979708486632  | clusters =  63  | cost =  59199.04296875
Threshold =  238  | F-measure =  0.639979708486632  | clusters =  62  | cost =  59132.73828125
Threshold =  239  | F-measure =  0.639979708486632  | clusters =  63  | cost =  59489.95703125
Threshold =  240  | F-measure =  0.639979708486632  | clusters =  62  | cost =  59172.73828125
Threshold =  241  | F-measure =  0.639979708486632  | clusters =  64  | cost =  59604.26171875
Threshold =  242  | F-measure =  0.639979708486632  | clusters =  63  | cost =  59294.04296875
Threshold =  243  | F-measure =  0.639979708486632  | clusters =  64  | cost =  59634.2578125
Threshold =  244  | F-measure =  0.639979708486632  | clusters =  63  | cost =  59332.04296875
Threshold =  245  | F-measure =  0.639979708486632  | clusters =  62  | cost =  59272.734375
Threshold =  246  | F-measure =  0.646012068815204  | clusters =  61  | cost =  60424.26953125
Threshold =  247  | F-measure =  0.646012068815204  | clusters =  61  | cost =  60526.265625
Threshold =  248  | F-measure =  0.616141090692183  | clusters =  64  | cost =  60673.4453125
Threshold =  249  | F-measure =  0.610256606729631  | clusters =  65  | cost =  61268.1015625
Threshold =  250  | F-measure =  0.622056146785378  | clusters =  65  | cost =  60432.4921875
Threshold =  251  | F-measure =  0.616141090692183  | clusters =  63  | cost =  59722.140625
Threshold =  252  | F-measure =  0.639979708486632  | clusters =  62  | cost =  59412.7265625
Threshold =  253  | F-measure =  0.639979708486632  | clusters =  63  | cost =  59713.9453125
Threshold =  254  | F-measure =  0.616141090692183  | clusters =  65  | cost =  59192.671875
Threshold =  255  | F-measure =  0.616141090692183  | clusters =  65  | cost =  58895.6796875
Threshold =  256  | F-measure =  0.639979708486632  | clusters =  62  | cost =  59492.71875
Threshold =  257  | F-measure =  0.639979708486632  | clusters =  62  | cost =  59512.71875
Threshold =  258  | F-measure =  0.616141090692183  | clusters =  65  | cost =  58004.6875
Threshold =  259  | F-measure =  0.610256606729631  | clusters =  65  | cost =  57761.0546875
Threshold =  260  | F-measure =  0.639979708486632  | clusters =  64  | cost =  59889.2421875
Threshold =  261  | F-measure =  0.639979708486632  | clusters =  62  | cost =  59592.71875
Threshold =  262  | F-measure =  0.592791858682848  | clusters =  67  | cost =  58712.23828125
Threshold =  263  | F-measure =  0.598581451571133  | clusters =  66  | cost =  57296.515625
Threshold =  264  | F-measure =  0.592791858682848  | clusters =  67  | cost =  57584.765625
Threshold =  265  | F-measure =  0.616141090692183  | clusters =  65  | cost =  55925.6953125
Threshold =  266  | F-measure =  0.592791858682848  | clusters =  68  | cost =  55509.69921875
Threshold =  267  | F-measure =  0.610256606729631  | clusters =  67  | cost =  54889.69140625
Threshold =  268  | F-measure =  0.616141090692183  | clusters =  66  | cost =  55090.00390625
Threshold =  269  | F-measure =  0.592791858682848  | clusters =  68  | cost =  53715.71484375
Threshold =  270  | F-measure =  0.604403216013587  | clusters =  66  | cost =  53213.34375
Threshold =  271  | F-measure =  0.598581451571133  | clusters =  68  | cost =  53362.69921875
