Threshold = 197 | F-measure = 0.1744457 | clusters = 226 | common = 29 | cost = 27835.607421875
Threshold = 198 | F-measure = 0.1744457 | clusters = 228 | common = 29 | cost = 26061.6953125
Threshold = 199 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 24565.841796875
Threshold = 200 | F-measure = 0.1734194 | clusters = 228 | common = 29 | cost = 22896.359375
Threshold = 201 | F-measure = 0.1744457 | clusters = 228 | common = 29 | cost = 21079.994140625
Threshold = 202 | F-measure = 0.1744457 | clusters = 228 | common = 29 | cost = 19594.51171875
Threshold = 203 | F-measure = 0.1744457 | clusters = 227 | common = 29 | cost = 18167.85546875
Threshold = 204 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 16962.373046875
Threshold = 205 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 15899.65625
Threshold = 206 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 14591.8583984375
Threshold = 207 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 13705.5009765625
Threshold = 208 | F-measure = 0.1744457 | clusters = 229 | common = 29 | cost = 12510.6650390625
Threshold = 209 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 11947.71875
Threshold = 210 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 11063.05859375
Threshold = 211 | F-measure = 0.1744457 | clusters = 228 | common = 29 | cost = 9867.052734375
Threshold = 212 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 9475.3662109375
Threshold = 213 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 8691.240234375
Threshold = 214 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 8118.83154296875
Threshold = 215 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 7458.7841796875
Threshold = 216 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 6878.50634765625
Threshold = 217 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 6259.013671875
Threshold = 218 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 5837.19482421875
Threshold = 219 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 5373.2626953125
Threshold = 220 | F-measure = 0.1744457 | clusters = 228 | common = 29 | cost = 4841.4560546875
Threshold = 221 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 4588.16748046875
Threshold = 222 | F-measure = 0.1744457 | clusters = 230 | common = 29 | cost = 4222.16552734375
Threshold = 223 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 3890.60009765625
Threshold = 224 | F-measure = 0.1744457 | clusters = 231 | common = 29 | cost = 3578.99731445312
Threshold = 225 | F-measure = 0.1813833 | clusters = 226 | common = 30 | cost = 2986.90893554688
Threshold = 226 | F-measure = 0.1897513 | clusters = 227 | common = 31 | cost = 2981.6904296875
Threshold = 227 | F-measure = 0.188725 | clusters = 222 | common = 31 | cost = 2386.888671875
Threshold = 228 | F-measure = 0.188725 | clusters = 225 | common = 31 | cost = 2413.02880859375
Threshold = 229 | F-measure = 0.188725 | clusters = 225 | common = 31 | cost = 2173.26025390625
Threshold = 230 | F-measure = 0.188725 | clusters = 225 | common = 31 | cost = 2034.12939453125
Threshold = 231 | F-measure = 0.1878869 | clusters = 224 | common = 31 | cost = 1796.83276367188
Threshold = 232 | F-measure = 0.1878869 | clusters = 221 | common = 31 | cost = 1417.89611816406
Threshold = 233 | F-measure = 0.1828582 | clusters = 199 | common = 31 | cost = 900.526123046875
Threshold = 234 | F-measure = 0.1705106 | clusters = 172 | common = 30 | cost = 415.325744628906
Threshold = 235 | F-measure = 0.1713316 | clusters = 173 | common = 30 | cost = 349.606262207031
Threshold = 236 | F-measure = 0.1718842 | clusters = 179 | common = 30 | cost = 292.829040527344
Threshold = 237 | F-measure = 0.1743028 | clusters = 182 | common = 30 | cost = 242.229522705078
Threshold = 238 | F-measure = 0.1751409 | clusters = 185 | common = 30 | cost = 200.906433105469
Threshold = 239 | F-measure = 0.1771113 | clusters = 190 | common = 30 | cost = 166.600433349609
Threshold = 240 | F-measure = 0.1771113 | clusters = 191 | common = 30 | cost = 136.031066894531
Threshold = 241 | F-measure = 0.1771113 | clusters = 192 | common = 30 | cost = 112.40544128418
Threshold = 242 | F-measure = 0.1785481 | clusters = 193 | common = 30 | cost = 91.4678802490234
Threshold = 243 | F-measure = 0.1785481 | clusters = 198 | common = 30 | cost = 76.7714385986328
Threshold = 244 | F-measure = 0.1785481 | clusters = 200 | common = 30 | cost = 66.1596298217773
Threshold = 245 | F-measure = 0.1785481 | clusters = 202 | common = 30 | cost = 56.1819229125977
Threshold = 246 | F-measure = 0.1792012 | clusters = 205 | common = 30 | cost = 47.1819190979004
