
currentTclustCluster = c10 | nextThreshold = 29

currentTclustCluster = c11 | nextThreshold = 29

currentTclustCluster = c12 | nextThreshold = 29

currentTclustCluster = c5 | nextThreshold = 30

currentTclustCluster = c13 | nextThreshold = 30

currentTclustCluster = c14 | nextThreshold = 30

currentTclustCluster = c31 | nextThreshold = 30

currentTclustCluster = c29 | nextThreshold = 30

currentTclustCluster = c30 | nextThreshold = 30

currentTclustCluster = c18 | nextThreshold = 30

currentTclustCluster = c25 | nextThreshold = 30

currentTclustCluster = c26 | nextThreshold = 30

currentTclustCluster = c22 | nextThreshold = 30

currentTclustCluster = c23 | nextThreshold = 30

currentTclustCluster = c20 | nextThreshold = 30

currentTclustCluster = c9 | nextThreshold = 30

currentTclustCluster = c10 | nextThreshold = 30

currentTclustCluster = c11 | nextThreshold = 30

currentTclustCluster = c12 | nextThreshold = 30

currentTclustCluster = c5 | nextThreshold = 31

currentTclustCluster = c13 | nextThreshold = 31

currentTclustCluster = c14 | nextThreshold = 31

currentTclustCluster = c31 | nextThreshold = 31

currentTclustCluster = c29 | nextThreshold = 31

currentTclustCluster = c30 | nextThreshold = 31

currentTclustCluster = c18 | nextThreshold = 31

currentTclustCluster = c25 | nextThreshold = 31

currentTclustCluster = c26 | nextThreshold = 31

currentTclustCluster = c22 | nextThreshold = 31

currentTclustCluster = c33 | nextThreshold = 31

currentTclustCluster = c20 | nextThreshold = 31

currentTclustCluster = c9 | nextThreshold = 31

currentTclustCluster = c10 | nextThreshold = 31

currentTclustCluster = c11 | nextThreshold = 31

currentTclustCluster = c12 | nextThreshold = 31

currentTclustCluster = c5 | nextThreshold = 32

currentTclustCluster = c13 | nextThreshold = 32

currentTclustCluster = c14 | nextThreshold = 32

currentTclustCluster = c35 | nextThreshold = 32

currentTclustCluster = c36 | nextThreshold = 32

currentTclustCluster = c29 | nextThreshold = 32

currentTclustCluster = c30 | nextThreshold = 32

currentTclustCluster = c18 | nextThreshold = 32

currentTclustCluster = c25 | nextThreshold = 32

currentTclustCluster = c26 | nextThreshold = 32

currentTclustCluster = c22 | nextThreshold = 32

currentTclustCluster = c33 | nextThreshold = 32

currentTclustCluster = c20 | nextThreshold = 32

currentTclustCluster = c9 | nextThreshold = 32

currentTclustCluster = c10 | nextThreshold = 32

currentTclustCluster = c11 | nextThreshold = 32

