
currentTclustCluster = c163 | nextThreshold = 13

currentTclustCluster = c164 | nextThreshold = 13

currentTclustCluster = c124 | nextThreshold = 13

currentTclustCluster = c125 | nextThreshold = 13

currentTclustCluster = c129 | nextThreshold = 13

currentTclustCluster = c46 | nextThreshold = 13

currentTclustCluster = c230 | nextThreshold = 13

currentTclustCluster = c232 | nextThreshold = 13

currentTclustCluster = c233 | nextThreshold = 13

currentTclustCluster = c186 | nextThreshold = 13

currentTclustCluster = c235 | nextThreshold = 13

currentTclustCluster = c140 | nextThreshold = 13

currentTclustCluster = c56 | nextThreshold = 13

currentTclustCluster = c142 | nextThreshold = 13

currentTclustCluster = c145 | nextThreshold = 13

currentTclustCluster = c66 | nextThreshold = 13

currentTclustCluster = c68 | nextThreshold = 13

currentTclustCluster = c79 | nextThreshold = 13

currentTclustCluster = c167 | nextThreshold = 13

currentTclustCluster = c220 | nextThreshold = 13

currentTclustCluster = c177 | nextThreshold = 13

currentTclustCluster = c103 | nextThreshold = 13

currentTclustCluster = c104 | nextThreshold = 13

currentTclustCluster = c105 | nextThreshold = 13

currentTclustCluster = c106 | nextThreshold = 13

currentTclustCluster = c34 | nextThreshold = 14

currentTclustCluster = c35 | nextThreshold = 14

currentTclustCluster = c37 | nextThreshold = 14

currentTclustCluster = c237 | nextThreshold = 14

currentTclustCluster = c239 | nextThreshold = 14

currentTclustCluster = c242 | nextThreshold = 14

currentTclustCluster = c163 | nextThreshold = 14

currentTclustCluster = c164 | nextThreshold = 14

currentTclustCluster = c124 | nextThreshold = 14

currentTclustCluster = c125 | nextThreshold = 14

currentTclustCluster = c129 | nextThreshold = 14

currentTclustCluster = c46 | nextThreshold = 14

currentTclustCluster = c230 | nextThreshold = 14

currentTclustCluster = c232 | nextThreshold = 14

currentTclustCluster = c233 | nextThreshold = 14

currentTclustCluster = c186 | nextThreshold = 14

currentTclustCluster = c244 | nextThreshold = 14

currentTclustCluster = c140 | nextThreshold = 14

currentTclustCluster = c56 | nextThreshold = 14

currentTclustCluster = c142 | nextThreshold = 14

currentTclustCluster = c145 | nextThreshold = 14

currentTclustCluster = c66 | nextThreshold = 14

currentTclustCluster = c68 | nextThreshold = 14

currentTclustCluster = c79 | nextThreshold = 14

currentTclustCluster = c167 | nextThreshold = 14

currentTclustCluster = c220 | nextThreshold = 14

currentTclustCluster = c177 | nextThreshold = 14

currentTclustCluster = c103 | nextThreshold = 14

currentTclustCluster = c104 | nextThreshold = 14

currentTclustCluster = c105 | nextThreshold = 14

currentTclustCluster = c106 | nextThreshold = 14

currentTclustCluster = c34 | nextThreshold = 15

currentTclustCluster = c35 | nextThreshold = 15

currentTclustCluster = c37 | nextThreshold = 15

currentTclustCluster = c237 | nextThreshold = 15

currentTclustCluster = c239 | nextThreshold = 15

currentTclustCluster = c246 | nextThreshold = 15

currentTclustCluster = c163 | nextThreshold = 15

