Threshold = 257 | F-measure = 0.1930568 | clusters = 196 | common = 32 | cost = 71.8868408203125
Threshold = 258 | F-measure = 0.1930568 | clusters = 199 | common = 32 | cost = 56.0917892456055
Threshold = 259 | F-measure = 0.1944936 | clusters = 203 | common = 32 | cost = 44.274528503418
Threshold = 260 | F-measure = 0.1959304 | clusters = 206 | common = 32 | cost = 34.3035507202148
Threshold = 261 | F-measure = 0.1877249 | clusters = 208 | common = 31 | cost = 28.3884811401367
Threshold = 262 | F-measure = 0.1877249 | clusters = 211 | common = 31 | cost = 21.846118927002
Threshold = 263 | F-measure = 0.1877249 | clusters = 212 | common = 31 | cost = 17.4235801696777
Threshold = 264 | F-measure = 0.1877249 | clusters = 216 | common = 31 | cost = 13.4235801696777
Threshold = 265 | F-measure = 0.1877249 | clusters = 217 | common = 31 | cost = 9.8474702835083
Threshold = 266 | F-measure = 0.1877249 | clusters = 219 | common = 31 | cost = 7.63881969451904
Threshold = 267 | F-measure = 0.1877249 | clusters = 221 | common = 31 | cost = 6.51626014709473
Threshold = 268 | F-measure = 0.1877249 | clusters = 222 | common = 31 | cost = 3.708740234375
Threshold = 269 | F-measure = 0.1877249 | clusters = 222 | common = 31 | cost = 2.03198003768921
Threshold = 270 | F-measure = 0.1877249 | clusters = 222 | common = 31 | cost = 1.03198003768921
Threshold = 271 | F-measure = 0.1877249 | clusters = 223 | common = 31 | cost = 0.031980000436306
Threshold = 272 | F-measure = 0.1877249 | clusters = 224 | common = 31 | cost = 0
Threshold = 273 | F-measure = 0.1877249 | clusters = 226 | common = 31 | cost = 0.231810003519058
Threshold = 274 | F-measure = 0.1877249 | clusters = 226 | common = 31 | cost = 0
Threshold = 275 | F-measure = 0.1877249 | clusters = 226 | common = 31 | cost = 0
Threshold = 276 | F-measure = 0.1877249 | clusters = 226 | common = 31 | cost = 0
Threshold = 277 | F-measure = 0.1828137 | clusters = 228 | common = 30 | cost = 0
Threshold = 278 | F-measure = 0.1828137 | clusters = 228 | common = 30 | cost = 0
Threshold = 279 | F-measure = 0.1828137 | clusters = 228 | common = 30 | cost = 0
Threshold = 280 | F-measure = 0.1828137 | clusters = 228 | common = 30 | cost = 0
Threshold = 281 | F-measure = 0.1828137 | clusters = 228 | common = 30 | cost = 0
Threshold = 282 | F-measure = 0.1828137 | clusters = 229 | common = 30 | cost = 0
Threshold = 283 | F-measure = 0.1828137 | clusters = 229 | common = 30 | cost = 0
Threshold = 284 | F-measure = 0.1828137 | clusters = 229 | common = 30 | cost = 0
Threshold = 285 | F-measure = 0.1828137 | clusters = 231 | common = 30 | cost = 0
Threshold = 286 | F-measure = 0.1828137 | clusters = 231 | common = 30 | cost = 0
Threshold = 287 | F-measure = 0.1828137 | clusters = 231 | common = 30 | cost = 0
Threshold = 288 | F-measure = 0.1828137 | clusters = 231 | common = 30 | cost = 0
Threshold = 289 | F-measure = 0.1744457 | clusters = 232 | common = 29 | cost = 0
